connectome_size,density,time_bct
250,0.1,95.1591751
260,0.1,163.6081693
270,0.1,114.89850210000003
280,0.1,125.29689119999995
290,0.1,134.02530680000007
250,0.2,93.9462327
260,0.2,105.6898708
270,0.2,115.73818830000005
280,0.2,124.63126540000007
290,0.2,135.0547507000001
250,0.30000000000000004,94.86802790000002
260,0.30000000000000004,105.54904020000004
270,0.30000000000000004,114.25091679999991
280,0.30000000000000004,124.7954292999998
290,0.30000000000000004,134.05286079999996
250,0.4,94.40013309999995
260,0.4,107.34745420000013
270,0.4,114.3639561
280,0.4,124.58975450000025
290,0.4,133.88105220000034
250,0.5,93.74202250000008
260,0.5,106.1887456000004
270,0.5,114.36512140000013
280,0.5,125.13976450000018
290,0.5,133.90204350000022
250,0.6,95.12140099999988
260,0.6,105.68258019999985
270,0.6,114.77364880000005
280,0.6,124.2016509
290,0.6,134.33400779999965
250,0.7000000000000001,93.84322650000013
260,0.7000000000000001,105.17103110000016
270,0.7000000000000001,114.10290400000031
280,0.7000000000000001,124.89599140000018
290,0.7000000000000001,134.2651175000001
250,0.8,93.50545710000006
260,0.8,104.86753150000004
270,0.8,113.99700690000009
280,0.8,124.4578620000002
290,0.8,134.36385580000024
250,0.9,93.31213740000021
260,0.9,105.09732600000007
270,0.9,114.33339479999995
280,0.9,123.50315640000008
290,0.9,134.31788269999925
