connectome_size,num_connections,time_gnm
750,950,4.8229194
700,950,3.5000286000000003
650,950,3.224552000000001
600,950,3.020262100000002
550,950,2.934130100000001
500,950,2.916262400000001
450,950,2.9429178
400,950,2.9767668
350,950,2.9237503999999994
300,950,2.8979839
250,950,2.9280985000000044
200,950,3.0666557999999995
150,950,2.9850021000000027
100,950,2.903554299999996
750,850,3.697825100000003
700,850,3.187577399999995
650,850,2.9890544999999946
600,850,2.5502891000000005
550,850,2.621258900000001
500,850,2.636367099999994
450,850,2.620227600000007
400,850,2.6442566000000056
350,850,2.579953400000008
300,850,2.549326399999998
250,850,2.562044
200,850,2.5986970999999954
150,850,2.5995704000000046
100,850,2.5478848999999997
750,750,3.463397900000004
700,750,2.865666400000009
650,750,2.5869120000000123
600,750,2.3975235999999995
550,750,2.3445183000000043
500,750,2.2719238999999902
450,750,2.2581401999999997
400,750,2.2472712
350,750,2.256829600000003
300,750,2.342580599999991
250,750,2.2557841999999937
200,750,2.2271635999999972
150,750,2.397191200000009
100,750,2.349822400000008
750,650,2.9571671000000066
700,650,2.396463099999991
650,650,2.2427207000000067
600,650,2.0220574000000227
550,650,1.9101313999999832
500,650,1.8318934000000127
450,650,1.8944797999999992
400,650,1.949669699999987
350,650,1.9692388999999935
300,650,2.0202520999999933
250,650,2.000095799999997
200,650,2.0509514000000024
150,650,1.9562298999999825
100,650,1.904709600000018
750,550,2.580662100000012
700,550,2.0701227999999787
650,550,1.926115899999985
600,550,1.7338556999999923
550,550,1.6545031999999935
500,550,1.662588999999997
450,550,1.6271805000000086
400,550,1.6342759000000058
350,550,1.6562794999999824
300,550,1.682817
250,550,1.7184549999999774
200,550,1.6505416000000253
150,550,1.6461890999999866
100,550,1.632696100000004
750,450,2.1457292999999993
700,450,1.7285122000000115
650,450,1.5887429999999938
600,450,1.4276577999999915
550,450,1.3178246999999885
500,450,1.2949614999999994
450,450,1.2981277999999747
400,450,1.2763597000000004
350,450,1.2994644999999991
300,450,1.2639760000000138
250,450,1.2798884000000044
200,450,1.2497654000000011
150,450,1.289428799999996
100,450,1.3289731999999788
750,350,1.806102199999998
700,350,1.2730787000000134
650,350,1.2008708000000183
600,350,1.0819041999999968
550,350,1.106239400000021
500,350,1.0537555000000225
450,350,1.0053877
400,350,1.0126368999999897
350,350,0.9897188999999855
300,350,1.0017454999999984
250,350,1.035421800000023
200,350,1.0069469000000026
150,350,1.013436200000001
100,350,1.0354187000000081
750,250,1.2681335000000047
700,250,0.9535829000000149
650,250,0.8357490999999868
600,250,0.7909127000000069
550,250,0.7859229999999968
500,250,0.7207259000000192
450,250,0.7475726000000122
400,250,0.7091537000000017
350,250,0.7004379999999912
300,250,0.7221509999999967
250,250,0.7336666000000207
200,250,0.735923200000002
150,250,0.709184300000004
100,250,0.7580181999999809
750,150,0.9221843999999919
700,150,0.5768078000000116
650,150,0.5317079999999805
600,150,0.48121720000000323
550,150,0.475055900000001
500,150,0.5058640999999966
450,150,0.4654278000000147
400,150,0.44749279999999203
350,150,0.4517203000000052
300,150,0.47840289999999186
250,150,0.4667326000000003
200,150,0.44633890000000065
150,150,0.4684411000000068
100,150,0.45395709999999667
750,50,0.3194372000000101
700,50,0.25172340000000304
650,50,0.2311289999999815
600,50,0.2036674000000005
550,50,0.20324039999999854
500,50,0.1930147000000204
450,50,0.2002712000000031
400,50,0.18799889999999664
350,50,0.1750413999999978
300,50,0.18010669999998186
250,50,0.17585040000000163
200,50,0.17428209999999922
150,50,0.19353149999997754
100,50,0.17544169999999326
